               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096298,            0.024844,            0.033539,             0.27047,             0.27444,             0.29667,             0.10342,            0.058543,             0.01199,            0.014912,              0.0706,           0.0032667,           0.0032667
                   1,             0.07162,            0.023646,            0.015512,             0.28013,               0.665,             0.43442,             0.19552,            0.059775,            0.008298,           0.0041587,            0.040556,           0.0065564,           0.0065564
                   2,            0.066045,            0.020927,           0.0098499,              0.7459,             0.30561,             0.37452,             0.15045,            0.064256,           0.0064726,           0.0042789,            0.010469,           0.0098022,           0.0098022
                   3,            0.062623,             0.01994,           0.0098736,             0.50803,             0.81579,             0.63199,              0.2797,            0.046085,           0.0078615,           0.0042662,            0.009802,            0.009802,            0.009802
                   4,            0.056439,            0.019709,           0.0083722,             0.80041,             0.83918,             0.85002,             0.44584,            0.040602,           0.0063022,           0.0026352,            0.009802,            0.009802,            0.009802
                   5,            0.052078,            0.018821,            0.007014,             0.75182,             0.76143,             0.85768,             0.40127,             0.03786,           0.0062254,           0.0035839,            0.009736,            0.009736,            0.009736
                   6,             0.04945,            0.018266,           0.0062227,             0.91203,             0.91527,             0.94217,             0.39061,            0.040616,           0.0063147,           0.0029074,             0.00967,             0.00967,             0.00967
                   7,            0.048497,            0.017512,           0.0049084,             0.85763,             0.86711,              0.9374,             0.38957,            0.038583,           0.0057328,           0.0019725,            0.009604,            0.009604,            0.009604
                   8,            0.047298,            0.017449,           0.0048424,             0.81685,             0.87421,             0.90932,             0.54959,            0.039065,            0.006027,           0.0018584,            0.009538,            0.009538,            0.009538
                   9,            0.046345,             0.01783,           0.0046829,             0.88966,             0.94364,             0.96657,             0.48789,            0.037196,           0.0054339,            0.002018,            0.009472,            0.009472,            0.009472
                  10,            0.045162,            0.017475,           0.0043529,             0.94071,             0.89712,             0.95543,             0.56913,            0.034902,           0.0055644,           0.0032259,            0.009406,            0.009406,            0.009406
                  11,            0.044324,            0.017588,            0.003857,             0.92232,             0.96953,             0.97225,             0.59278,            0.033994,            0.005596,           0.0027125,             0.00934,             0.00934,             0.00934
                  12,            0.042522,            0.017042,           0.0032661,              0.9392,             0.95113,             0.97237,              0.5934,            0.035556,            0.005446,           0.0023247,            0.009274,            0.009274,            0.009274
                  13,            0.043128,             0.01745,           0.0033783,             0.85026,             0.95113,             0.94636,             0.61275,            0.033591,           0.0053716,           0.0018741,            0.009208,            0.009208,            0.009208
                  14,            0.041526,            0.016904,           0.0034104,             0.89783,             0.85798,             0.94953,             0.63076,            0.033012,           0.0056122,           0.0026328,            0.009142,            0.009142,            0.009142
                  15,            0.041768,            0.017591,           0.0031667,             0.95331,             0.92512,             0.98058,             0.53823,            0.033119,           0.0052747,            0.002131,            0.009076,            0.009076,            0.009076
                  16,            0.040682,            0.017424,           0.0029193,             0.96413,             0.89181,             0.96772,             0.54452,            0.031883,           0.0050757,           0.0015158,             0.00901,             0.00901,             0.00901
                  17,            0.041018,            0.017137,           0.0031442,             0.95706,             0.90192,             0.97595,              0.6029,            0.034363,            0.005405,           0.0013044,            0.008944,            0.008944,            0.008944
                  18,             0.03978,            0.017173,           0.0030815,                0.94,             0.91332,             0.97106,             0.51655,            0.032782,           0.0053044,           0.0020534,            0.008878,            0.008878,            0.008878
                  19,            0.039891,            0.016195,           0.0027151,             0.95405,             0.94169,             0.97131,             0.63887,            0.033078,           0.0052471,           0.0019192,            0.008812,            0.008812,            0.008812
                  20,            0.039109,            0.015969,           0.0026179,             0.96285,             0.94361,             0.98138,              0.6185,            0.028637,           0.0051314,          0.00078199,            0.008746,            0.008746,            0.008746
                  21,             0.03891,            0.016116,           0.0025726,              0.9491,             0.97368,             0.98157,             0.62498,            0.030848,            0.005193,          0.00069426,             0.00868,             0.00868,             0.00868
                  22,            0.038424,            0.015907,           0.0029255,             0.97949,             0.95622,             0.98736,             0.60537,            0.030421,           0.0049541,          0.00089437,            0.008614,            0.008614,            0.008614
                  23,              0.0386,             0.01601,           0.0027855,             0.94467,             0.95489,             0.97852,             0.63186,            0.029427,           0.0050905,           0.0014231,            0.008548,            0.008548,            0.008548
                  24,            0.037767,            0.015501,           0.0022892,             0.90983,             0.96277,             0.97918,             0.59461,            0.028961,           0.0051676,           0.0010554,            0.008482,            0.008482,            0.008482
                  25,            0.037563,             0.01496,           0.0021487,             0.94325,             0.97613,             0.98448,             0.63974,            0.029306,           0.0051943,           0.0009163,            0.008416,            0.008416,            0.008416
                  26,            0.038098,            0.015636,           0.0025556,              0.9184,             0.96617,             0.97556,             0.60937,            0.030705,           0.0051804,           0.0012798,             0.00835,             0.00835,             0.00835
                  27,            0.036939,             0.01583,           0.0023843,             0.97215,             0.93874,             0.97951,             0.64465,            0.030336,           0.0050896,           0.0012344,            0.008284,            0.008284,            0.008284
                  28,            0.036237,            0.015406,           0.0020522,             0.94918,             0.96627,             0.97999,             0.59336,             0.02844,           0.0051483,          0.00075837,            0.008218,            0.008218,            0.008218
                  29,            0.035288,            0.015238,           0.0019282,             0.95979,             0.89181,             0.97502,             0.63153,            0.027362,           0.0051074,          0.00082791,            0.008152,            0.008152,            0.008152
