               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095171,            0.024409,            0.030252,             0.40917,             0.31038,             0.26931,            0.074909,            0.066034,            0.012867,            0.011977,            0.070429,           0.0032857,           0.0032857
                   1,            0.069203,            0.023697,           0.0091207,             0.38271,             0.52096,             0.41826,             0.16922,            0.059523,           0.0096129,           0.0030771,            0.039773,           0.0059638,           0.0059638
                   2,            0.063121,            0.020309,           0.0052047,             0.50127,             0.55356,             0.48271,             0.19487,            0.055705,           0.0085883,           0.0026363,            0.008458,           0.0079818,           0.0079818
                   3,            0.057179,            0.019628,           0.0040769,             0.82037,              0.7131,             0.79573,             0.38244,            0.043901,           0.0079465,           0.0016917,             0.00703,             0.00703,             0.00703
                   4,             0.05304,            0.018929,           0.0036855,             0.71717,             0.70538,             0.77218,             0.35025,             0.04304,            0.008051,           0.0014113,             0.00703,             0.00703,             0.00703
                   5,            0.048558,            0.018064,           0.0031187,             0.76589,             0.74009,             0.81858,             0.40939,            0.038638,           0.0080351,           0.0018935,             0.00604,             0.00604,             0.00604
                   6,            0.046654,            0.017741,           0.0027926,             0.82619,             0.69784,              0.8171,             0.42811,            0.038754,           0.0079401,           0.0015357,             0.00505,             0.00505,             0.00505
                   7,            0.042616,            0.017662,           0.0019676,             0.81514,             0.74798,             0.84881,             0.49477,            0.034082,           0.0075496,            0.001451,             0.00406,             0.00406,             0.00406
                   8,            0.041451,            0.017852,           0.0019608,             0.86994,             0.72709,             0.85227,             0.48916,            0.034483,           0.0073764,           0.0011869,             0.00307,             0.00307,             0.00307
                   9,            0.038716,            0.016929,           0.0016347,             0.87233,              0.7674,             0.87888,             0.52966,             0.03207,           0.0072749,          0.00061841,             0.00208,             0.00208,             0.00208
