               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077647,            0.024632,            0.020139,             0.78992,               0.275,             0.30746,              0.1151,             0.05741,            0.013525,            0.011945,            0.070025,           0.0033306,           0.0033306
                   1,            0.056679,            0.022707,           0.0088796,             0.45226,              0.5557,             0.45878,             0.20801,            0.047412,            0.010532,           0.0032508,            0.040018,           0.0066573,           0.0066573
                   2,            0.052911,            0.021009,           0.0052511,             0.51838,             0.60122,             0.58827,             0.24989,            0.043379,            0.009998,           0.0029705,            0.010005,           0.0099774,           0.0099774
                   3,            0.047985,            0.020183,           0.0036157,             0.67438,             0.79343,             0.73346,             0.31255,            0.036479,           0.0094967,           0.0029972,           0.0099703,           0.0099703,           0.0099703
                   4,            0.044389,             0.02056,           0.0035055,             0.79263,             0.78316,             0.83415,             0.44034,            0.032863,           0.0092541,           0.0016939,           0.0099703,           0.0099703,           0.0099703
                   5,            0.042332,            0.019997,           0.0028256,             0.68958,             0.79861,             0.78091,             0.34446,             0.03556,           0.0092722,           0.0010097,           0.0099604,           0.0099604,           0.0099604
                   6,            0.040133,            0.019486,           0.0023496,             0.67577,             0.75238,             0.76643,             0.37321,            0.033868,           0.0095617,           0.0009279,           0.0099505,           0.0099505,           0.0099505
                   7,            0.039299,            0.019399,           0.0025802,             0.75542,             0.81261,             0.82544,             0.42959,            0.031761,           0.0090386,           0.0011903,           0.0099406,           0.0099406,           0.0099406
                   8,            0.038218,            0.019108,           0.0026076,             0.79695,             0.72691,              0.8056,             0.41357,            0.031244,           0.0097058,            0.001554,           0.0099307,           0.0099307,           0.0099307
                   9,            0.038011,             0.01864,           0.0020267,             0.85698,             0.77749,             0.83041,              0.4434,            0.030543,           0.0089533,          0.00098314,           0.0099208,           0.0099208,           0.0099208
                  10,            0.036839,            0.018926,           0.0020664,             0.78129,             0.76218,             0.82094,             0.43547,             0.02987,           0.0092682,          0.00086423,           0.0099109,           0.0099109,           0.0099109
                  11,            0.036379,            0.018715,           0.0016972,             0.80069,             0.74343,             0.81734,             0.44521,            0.030472,           0.0090689,          0.00084539,            0.009901,            0.009901,            0.009901
                  12,            0.035836,            0.018409,           0.0015857,             0.76298,              0.8011,             0.81916,             0.39953,            0.031546,           0.0091715,            0.001154,           0.0098911,           0.0098911,           0.0098911
                  13,            0.034576,            0.018243,           0.0016383,             0.83276,             0.80282,             0.85184,             0.45923,             0.02906,           0.0091362,          0.00071392,           0.0098812,           0.0098812,           0.0098812
